section,item,metric,paper,local,delta,unit,equivalence,cause,improvement
Table 2 frontier comparison,"InjecAgent WAMI (ours, full model)",Latency,85.0,1.2095186156435798,-83.79048138435643,ms,direct local WAMI,本地 WAMI 是轻量 NumPy/结构化计划实现，因此延迟远低于论文。,用完整论文运行栈测端到端 latency，并固定同样数据切分。
Table 2 frontier comparison,"BIPIA WAMI (ours, full model)",IR,0.889,1.0,0.11099999999999999,percent,direct local WAMI,本地 WAMI 是轻量 NumPy/结构化计划实现，因此延迟远低于论文。,用完整论文运行栈测端到端 latency，并固定同样数据切分。
Table 2 frontier comparison,"BIPIA WAMI (ours, full model)",FPR,0.015,0.005833333333333334,-0.009166666666666667,percent,direct local WAMI,本地 WAMI 是轻量 NumPy/结构化计划实现，因此延迟远低于论文。,用完整论文运行栈测端到端 latency，并固定同样数据切分。
Table 2 frontier comparison,"BIPIA WAMI (ours, full model)",Latency,90.0,1.5370886666642036,-88.4629113333358,ms,direct local WAMI,本地 WAMI 是轻量 NumPy/结构化计划实现，因此延迟远低于论文。,用完整论文运行栈测端到端 latency，并固定同样数据切分。
Table 2 frontier comparison,InjecAgent Erase-and-Check official (qwen-max),IR,0.662,0.96,0.29799999999999993,percent,approximate baseline,本地 baseline 使用 Qwen API 或 SmoothLLM-style judge，样本量也小于论文 full benchmark。,跑完整 raw benchmark，统一模型、prompt、随机种子和样本量。
Table 2 frontier comparison,InjecAgent Erase-and-Check official (qwen-max),FPR,0.105,0.0,-0.105,percent,approximate baseline,本地 baseline 使用 Qwen API 或 SmoothLLM-style judge，样本量也小于论文 full benchmark。,跑完整 raw benchmark，统一模型、prompt、随机种子和样本量。
Table 2 frontier comparison,InjecAgent Erase-and-Check official (qwen-max),Latency,3100.0,2348.673938806477,-751.326061193523,ms,approximate baseline,本地 baseline 使用 Qwen API 或 SmoothLLM-style judge，样本量也小于论文 full benchmark。,跑完整 raw benchmark，统一模型、prompt、随机种子和样本量。
Table 2 frontier comparison,BIPIA Erase-and-Check official (qwen-max),IR,0.635,0.64,0.0050000000000000044,percent,approximate baseline,本地 baseline 使用 Qwen API 或 SmoothLLM-style judge，样本量也小于论文 full benchmark。,跑完整 raw benchmark，统一模型、prompt、随机种子和样本量。
Table 2 frontier comparison,BIPIA Erase-and-Check official (qwen-max),FPR,0.11,0.0,-0.11,percent,approximate baseline,本地 baseline 使用 Qwen API 或 SmoothLLM-style judge，样本量也小于论文 full benchmark。,跑完整 raw benchmark，统一模型、prompt、随机种子和样本量。
Table 2 frontier comparison,BIPIA Erase-and-Check official (qwen-max),Latency,3200.0,2767.254794000037,-432.7452059999632,ms,approximate baseline,本地 baseline 使用 Qwen API 或 SmoothLLM-style judge，样本量也小于论文 full benchmark。,跑完整 raw benchmark，统一模型、prompt、随机种子和样本量。
Table 2 frontier comparison,InjecAgent SmoothLLM-style perturbation + qwen-max judge,IR,0.721,1.0,0.279,percent,approximate baseline,本地 baseline 使用 Qwen API 或 SmoothLLM-style judge，样本量也小于论文 full benchmark。,跑完整 raw benchmark，统一模型、prompt、随机种子和样本量。
Table 2 frontier comparison,InjecAgent SmoothLLM-style perturbation + qwen-max judge,FPR,0.079,0.4117647058823529,0.3327647058823529,percent,approximate baseline,本地 baseline 使用 Qwen API 或 SmoothLLM-style judge，样本量也小于论文 full benchmark。,跑完整 raw benchmark，统一模型、prompt、随机种子和样本量。
Table 2 frontier comparison,InjecAgent SmoothLLM-style perturbation + qwen-max judge,Latency,2400.0,3364.552009523669,964.5520095236689,ms,approximate baseline,本地 baseline 使用 Qwen API 或 SmoothLLM-style judge，样本量也小于论文 full benchmark。,跑完整 raw benchmark，统一模型、prompt、随机种子和样本量。
Table 2 frontier comparison,BIPIA SmoothLLM-style perturbation + qwen-max judge,IR,0.694,0.96,0.266,percent,approximate baseline,本地 baseline 使用 Qwen API 或 SmoothLLM-style judge，样本量也小于论文 full benchmark。,跑完整 raw benchmark，统一模型、prompt、随机种子和样本量。
Table 2 frontier comparison,BIPIA SmoothLLM-style perturbation + qwen-max judge,FPR,0.082,0.48,0.39799999999999996,percent,approximate baseline,本地 baseline 使用 Qwen API 或 SmoothLLM-style judge，样本量也小于论文 full benchmark。,跑完整 raw benchmark，统一模型、prompt、随机种子和样本量。
Table 2 frontier comparison,BIPIA SmoothLLM-style perturbation + qwen-max judge,Latency,2450.0,5054.64949000132,2604.6494900013204,ms,approximate baseline,本地 baseline 使用 Qwen API 或 SmoothLLM-style judge，样本量也小于论文 full benchmark。,跑完整 raw benchmark，统一模型、prompt、随机种子和样本量。
Table 2 missing baselines,InjecAgent ToolEmu-Sandbox,IR/FPR/Latency,,,,percent,not reproduced,论文值为 IR 75.6% / FPR 13.6% / latency about 5800 ms；本地未得到可比输出。,下载模型或完成 ToolEmu harness，按 raw benchmark 跑完整结果。
Table 2 missing baselines,InjecAgent Llama-Guard 3 8B,IR/FPR/Latency,,,,percent,not reproduced,论文值为 IR 79.8% / FPR 6.1% / latency about 1150 ms；本地未得到可比输出。,下载模型或完成 ToolEmu harness，按 raw benchmark 跑完整结果。
Table 2 missing baselines,BIPIA ToolEmu-Sandbox,IR/FPR/Latency,,,,percent,not reproduced,论文值为 IR 73.2% / FPR 14.0% / latency about 5900 ms；本地未得到可比输出。,下载模型或完成 ToolEmu harness，按 raw benchmark 跑完整结果。
Table 2 missing baselines,BIPIA Llama-Guard 3 8B,IR/FPR/Latency,,,,percent,not reproduced,论文值为 IR 77.4% / FPR 6.5% / latency about 1180 ms；本地未得到可比输出。,下载模型或完成 ToolEmu harness，按 raw benchmark 跑完整结果。
Table 3 cross-backbone,GPT-4V WAMI IR,IR,0.878,,,percent,not reproduced,本地没有严格替换 GPT-4V/Llama-3-8B/Qwen-VL-Max 多模态 backbone；Qwen-VL-Max 这里只能用 InjecAgent WAMI 本地行作近似参考。,接入三个 backbone 的同一 agent harness，记录各自 action trajectory 后复跑 WAMI。
Table 3 cross-backbone,GPT-4V WAMI FPR,FPR,0.01,,,percent,not reproduced,同上，当前不是论文原始跨 backbone 实验。,补齐 GPT-4V、Llama-3-8B、Qwen-VL-Max 的统一 agent 输出。
Table 3 cross-backbone,Llama-3-8B WAMI IR,IR,0.889,,,percent,not reproduced,本地没有严格替换 GPT-4V/Llama-3-8B/Qwen-VL-Max 多模态 backbone；Qwen-VL-Max 这里只能用 InjecAgent WAMI 本地行作近似参考。,接入三个 backbone 的同一 agent harness，记录各自 action trajectory 后复跑 WAMI。
Table 3 cross-backbone,Llama-3-8B WAMI FPR,FPR,0.015,,,percent,not reproduced,同上，当前不是论文原始跨 backbone 实验。,补齐 GPT-4V、Llama-3-8B、Qwen-VL-Max 的统一 agent 输出。
Table 3 cross-backbone,Qwen-VL-Max WAMI IR,IR,0.903,0.9606261859582542,0.057626185958254195,percent,not strictly comparable,本地没有严格替换 GPT-4V/Llama-3-8B/Qwen-VL-Max 多模态 backbone；Qwen-VL-Max 这里只能用 InjecAgent WAMI 本地行作近似参考。,接入三个 backbone 的同一 agent harness，记录各自 action trajectory 后复跑 WAMI。
Table 3 cross-backbone,Qwen-VL-Max WAMI FPR,FPR,0.012,0.0,-0.012,percent,not strictly comparable,同上，当前不是论文原始跨 backbone 实验。,补齐 GPT-4V、Llama-3-8B、Qwen-VL-Max 的统一 agent 输出。
Figure 4 ROC AUC,InjecAgent WAMI AUC,AUC,0.992,0.667,-0.32499999999999996,auc,"same metric, different dataset/score extraction",论文 Figure 4 给的是整体 WAMI ROC AUC；本地是各数据集 MINE score AUC。InjecAgent/AgentDojo 的纯 MINE 分离弱于论文。,用最终 gateway decision score 构造 ROC，而不是只用 MINE step score；同时增加 shadow training epoch 和 hard negatives。
Figure 4 ROC AUC,BIPIA WAMI AUC,AUC,0.992,0.956,-0.03600000000000003,auc,"same metric, different dataset/score extraction",论文 Figure 4 给的是整体 WAMI ROC AUC；本地是各数据集 MINE score AUC。InjecAgent/AgentDojo 的纯 MINE 分离弱于论文。,用最终 gateway decision score 构造 ROC，而不是只用 MINE step score；同时增加 shadow training epoch 和 hard negatives。
Figure 4 ROC AUC,AgentDojo WAMI AUC,AUC,0.992,0.754,-0.238,auc,"same metric, different dataset/score extraction",论文 Figure 4 给的是整体 WAMI ROC AUC；本地是各数据集 MINE score AUC。InjecAgent/AgentDojo 的纯 MINE 分离弱于论文。,用最终 gateway decision score 构造 ROC，而不是只用 MINE step score；同时增加 shadow training epoch 和 hard negatives。
Table 4 capability,WAMI proxy,ToolBench SR,0.68,0.6810041666666667,0.0010041666666666949,percent,"proxy, not official",本地用 BIPIA/AgentDojo 良性放行率估计能力保持，不是 ToolBench/AgentBench 官方 SR。,完成 ToolBench/AgentBench 官方 harness，计算 No Defense SR 与 WAMI SR。
Table 4 capability,WAMI proxy,AgentBench SR,0.706,0.6954418604651162,-0.010558139534883715,percent,"proxy, not official",本地用 BIPIA/AgentDojo 良性放行率估计能力保持，不是 ToolBench/AgentBench 官方 SR。,完成 ToolBench/AgentBench 官方 harness，计算 No Defense SR 与 WAMI SR。
Table 4 capability,WAMI proxy,ToolBench Retention,0.993,0.9941666666666666,0.0011666666666666492,percent,"proxy, not official",本地用 BIPIA/AgentDojo 良性放行率估计能力保持，不是 ToolBench/AgentBench 官方 SR。,完成 ToolBench/AgentBench 官方 harness，计算 No Defense SR 与 WAMI SR。
Table 4 capability,WAMI proxy,AgentBench Retention,0.992,0.9767441860465116,-0.015255813953488406,percent,"proxy, not official",本地用 BIPIA/AgentDojo 良性放行率估计能力保持，不是 ToolBench/AgentBench 官方 SR。,完成 ToolBench/AgentBench 官方 harness，计算 No Defense SR 与 WAMI SR。
Table 4 capability,ToolBench data_example WAMI,ToolBench SR,0.68,0.6,-0.08000000000000007,percent,"real ToolBench format, tiny sample",只跑了 ToolBench data_example 的 15 条轨迹；No Defense 示例 SR 为 60.0%，和论文 full ToolBench 68.5% 不同。,下载 reproduction_data/full data，跑六个 test subsets 的 ToolEval pass rate。
Table 5 ablation,WAMI (Full Model),IR,0.903,0.9606261859582542,0.057626185958254195,percent,"same ablation name, local implementation",本地消融结构一致，但模型实现、数据转换、规则校准和端到端 runtime 与论文不同。,统一到论文的 agent trajectory 输入，冻结 gateway calibration，再跑 ablation。
Table 5 ablation,WAMI (Full Model),FPR,0.012,0.0,-0.012,percent,"same ablation name, local implementation",本地消融结构一致，但模型实现、数据转换、规则校准和端到端 runtime 与论文不同。,统一到论文的 agent trajectory 输入，冻结 gateway calibration，再跑 ablation。
Table 5 ablation,WAMI (Full Model),Latency,85.0,1.2095186156435798,-83.79048138435643,ms,"same ablation name, local implementation",本地消融结构一致，但模型实现、数据转换、规则校准和端到端 runtime 与论文不同。,统一到论文的 agent trajectory 输入，冻结 gateway calibration，再跑 ablation。
Table 5 ablation,w/o TDG Graph Construction,IR,0.783,0.5545540796963947,-0.22844592030360533,percent,"same ablation name, local implementation",本地消融结构一致，但模型实现、数据转换、规则校准和端到端 runtime 与论文不同。,统一到论文的 agent trajectory 输入，冻结 gateway calibration，再跑 ablation。
Table 5 ablation,w/o TDG Graph Construction,FPR,0.045,0.47058823529411764,0.42558823529411766,percent,"same ablation name, local implementation",本地消融结构一致，但模型实现、数据转换、规则校准和端到端 runtime 与论文不同。,统一到论文的 agent trajectory 输入，冻结 gateway calibration，再跑 ablation。
Table 5 ablation,w/o TDG Graph Construction,Latency,92.0,1.1026030711076331,-90.89739692889236,ms,"same ablation name, local implementation",本地消融结构一致，但模型实现、数据转换、规则校准和端到端 runtime 与论文不同。,统一到论文的 agent trajectory 输入，冻结 gateway calibration，再跑 ablation。
Table 5 ablation,w/o World Model Rollout,IR,0.642,0.6584440227703985,0.01644402277039847,percent,"same ablation name, local implementation",本地消融结构一致，但模型实现、数据转换、规则校准和端到端 runtime 与论文不同。,统一到论文的 agent trajectory 输入，冻结 gateway calibration，再跑 ablation。
Table 5 ablation,w/o World Model Rollout,FPR,0.081,0.0,-0.081,percent,"same ablation name, local implementation",本地消融结构一致，但模型实现、数据转换、规则校准和端到端 runtime 与论文不同。,统一到论文的 agent trajectory 输入，冻结 gateway calibration，再跑 ablation。
Table 5 ablation,w/o World Model Rollout,Latency,35.0,0.9245033782162411,-34.075496621783756,ms,"same ablation name, local implementation",本地消融结构一致，但模型实现、数据转换、规则校准和端到端 runtime 与论文不同。,统一到论文的 agent trajectory 输入，冻结 gateway calibration，再跑 ablation。
Table 5 ablation,w/o MINE Gateway (Cosine Similarity),IR,0.815,0.9316888045540797,0.1166888045540797,percent,"same ablation name, local implementation",本地消融结构一致，但模型实现、数据转换、规则校准和端到端 runtime 与论文不同。,统一到论文的 agent trajectory 输入，冻结 gateway calibration，再跑 ablation。
Table 5 ablation,w/o MINE Gateway (Cosine Similarity),FPR,0.058,0.0,-0.058,percent,"same ablation name, local implementation",本地消融结构一致，但模型实现、数据转换、规则校准和端到端 runtime 与论文不同。,统一到论文的 agent trajectory 输入，冻结 gateway calibration，再跑 ablation。
Table 5 ablation,w/o MINE Gateway (Cosine Similarity),Latency,82.0,1.2031962674208154,-80.79680373257918,ms,"same ablation name, local implementation",本地消融结构一致，但模型实现、数据转换、规则校准和端到端 runtime 与论文不同。,统一到论文的 agent trajectory 输入，冻结 gateway calibration，再跑 ablation。
Table 5 ablation,w/o Shadow Adversarial Training,IR,0.757,0.9297912713472486,0.1727912713472486,percent,"same ablation name, local implementation",本地消融结构一致，但模型实现、数据转换、规则校准和端到端 runtime 与论文不同。,统一到论文的 agent trajectory 输入，冻结 gateway calibration，再跑 ablation。
Table 5 ablation,w/o Shadow Adversarial Training,FPR,0.124,0.0,-0.124,percent,"same ablation name, local implementation",本地消融结构一致，但模型实现、数据转换、规则校准和端到端 runtime 与论文不同。,统一到论文的 agent trajectory 输入，冻结 gateway calibration，再跑 ablation。
Table 5 ablation,w/o Shadow Adversarial Training,Latency,85.0,1.1821399480281558,-83.81786005197185,ms,"same ablation name, local implementation",本地消融结构一致，但模型实现、数据转换、规则校准和端到端 runtime 与论文不同。,统一到论文的 agent trajectory 输入，冻结 gateway calibration，再跑 ablation。
Figure 6 latency,TDG construction,Latency,15.0,0.0377,-14.9623,ms,"same component idea, different runtime scale",本地是轻量 NumPy/文本 TDG 实现，没有论文完整多模态 agent 和部署开销。,用同一硬件、完整 agent loop、显式计时 TDG/world/MINE，并报告 mean/p95。
Figure 6 latency,World model rollout,Latency,45.0,1.0137,-43.9863,ms,"same component idea, different runtime scale",本地是轻量 NumPy/文本 TDG 实现，没有论文完整多模态 agent 和部署开销。,用同一硬件、完整 agent loop、显式计时 TDG/world/MINE，并报告 mean/p95。
Figure 6 latency,MINE gateway,Latency,25.0,0.1455,-24.8545,ms,"same component idea, different runtime scale",本地是轻量 NumPy/文本 TDG 实现，没有论文完整多模态 agent 和部署开销。,用同一硬件、完整 agent loop、显式计时 TDG/world/MINE，并报告 mean/p95。
Figure 6 latency,WAMI total,Latency,85.0,1.197,-83.803,ms,"same component idea, different runtime scale",本地是轻量 NumPy/文本 TDG 实现，没有论文完整多模态 agent 和部署开销。,用同一硬件、完整 agent loop、显式计时 TDG/world/MINE，并报告 mean/p95。
Figure 7 VRAM,WAMI VRAM,VRAM,0.45,,,gb,not measured,本地没有做 GPU memory profiling。,用 nvidia-smi 或 torch.cuda.max_memory_allocated 分别测 batch=1 的 WAMI/baseline 显存。
Figure 7 VRAM,Llama-Guard 3 VRAM,VRAM,16.0,,,gb,not measured,本地没有做 GPU memory profiling。,用 nvidia-smi 或 torch.cuda.max_memory_allocated 分别测 batch=1 的 WAMI/baseline 显存。
Figure 7 VRAM,SmoothVLM/Erase KV cache,VRAM,3.5,,,gb,not measured,本地没有做 GPU memory profiling。,用 nvidia-smi 或 torch.cuda.max_memory_allocated 分别测 batch=1 的 WAMI/baseline 显存。
Figure 7 VRAM,ToolEmu-Sandbox VRAM lower bound,VRAM,16.0,,,gb,not measured,本地没有做 GPU memory profiling。,用 nvidia-smi 或 torch.cuda.max_memory_allocated 分别测 batch=1 的 WAMI/baseline 显存。
Figure 8 MI convergence,InjecAgent MI gap epoch 8,MI gap,,1.2694,,raw,local supporting evidence,论文图展示 epoch 15 左右稳定分离；本地 InjecAgent 子集到 epoch 8 已从 0.1576 增至 1.2694。,跑满 30 epoch 并保存 benign/attack 两条 MI 曲线，而不只报告 gap。
